timestamp,emg_value
0.0,252
0.001,267
0.002,283
0.003,285
0.004,283
0.005,276
0.006,274
0.007,266
0.008,258
0.009,258
0.01,260
0.011,256
0.012,252
0.013,247
0.014,252
0.015,246
0.016,256
0.017,273
0.018,269
0.019,263
0.02,258
0.021,256
0.022,261
0.023,257
0.024,251
0.025,263
0.026,281
0.027,279
0.028,274
0.029,267
0.03,272
0.031,266
0.032,257
0.033,289
0.034,287
0.035,282
0.036,280
0.037,283
0.038,284
0.039,285
0.04,275
0.041,279
0.042,273
0.043,265
0.044,259
0.045,250
0.046,247
0.047,248
0.048,239
0.049,266
0.05,272
0.051,273
0.052,276
0.053,273
0.054,275
0.055,281
0.056,275
0.057,282
0.058,293
0.059,301
0.06,298
0.061,291
0.062,287
0.063,293
0.064,283
0.065,276
0.066,297
0.067,290
0.068,289
0.069,284
0.07,292
0.071,299
0.072,291
0.073,285
0.074,331
0.075,324
0.076,325
0.077,322
0.078,327
0.079,333
0.08,324
0.081,312
0.082,305
0.083,306
0.084,298
0.085,292
0.086,286
0.087,288
0.088,282
0.089,276
0.09,269
0.091,265
0.092,262
0.093,253
0.094,270
0.095,279
0.096,281
0.097,272
0.098,272
0.099,262
0.1,257
0.101,248
0.102,247
0.103,250
0.104,247
0.105,239
0.106,239
0.107,238
0.108,252
0.109,247
0.11,244
0.111,247
0.112,245
0.113,237
0.114,231
0.115,235
0.116,232
0.117,226
0.118,221
0.119,220
0.12,224
0.121,220
0.122,220
0.123,228
0.124,229
0.125,225
0.126,224
0.127,221
0.128,226
0.129,220
0.13,221
0.131,265
0.132,266
0.133,266
0.134,264
0.135,261
0.136,271
0.137,269
0.138,260
0.139,278
0.14,274
0.141,271
0.142,264
0.143,258
0.144,260
0.145,258
0.146,250
0.147,264
0.148,261
0.149,257
0.15,252
0.151,247
0.152,253
0.153,253
0.154,260
0.155,259
0.156,259
0.157,253
0.158,249
0.159,247
0.16,251
0.161,250
0.162,246
0.163,253
0.164,269
0.165,331
0.166,336
0.167,343
0.168,347
0.169,354
0.17,340
0.171,362
0.172,379
0.173,377
0.174,374
0.175,376
0.176,378
0.177,381
0.178,368
0.179,356
0.18,364
0.181,367
0.182,362
0.183,357
0.184,356
0.185,357
0.186,343
0.187,342
0.188,391
0.189,386
0.19,385
0.191,378
0.192,373
0.193,374
0.194,363
0.195,351
0.196,348
0.197,339
0.198,339
0.199,330
0.2,325
0.201,326
0.202,316
0.203,308
0.204,303
0.205,296
0.206,284
0.207,279
0.208,269
0.209,271
0.21,270
0.211,263
0.212,299
0.213,303
0.214,303
0.215,319
0.216,323
0.217,330
0.218,330
0.219,317
0.22,331
0.221,345
0.222,338
0.223,336
0.224,334
0.225,332
0.226,328
0.227,320
0.228,344
0.229,335
0.23,354
0.231,354
0.232,352
0.233,357
0.234,350
0.235,342
0.236,329
0.237,328
0.238,322
0.239,313
0.24,304
0.241,303
0.242,294
0.243,287
0.244,297
0.245,333
0.246,343
0.247,344
0.248,343
0.249,362
0.25,371
0.251,363
0.252,352
0.253,345
0.254,354
0.255,353
0.256,349
0.257,341
0.258,343
0.259,333
0.26,343
0.261,358
0.262,353
0.263,342
0.264,337
0.265,329
0.266,329
0.267,321
0.268,315
0.269,318
0.27,311
0.271,303
0.272,293
0.273,290
0.274,292
0.275,289
0.276,278
0.277,296
0.278,296
0.279,315
0.28,314
0.281,314
0.282,322
0.283,326
0.284,314
0.285,326
0.286,347
0.287,341
0.288,334
0.289,333
0.29,336
0.291,336
0.292,329
0.293,331
0.294,349
0.295,345
0.296,343
0.297,333
0.298,327
0.299,329
0.3,320
0.301,314
0.302,301
0.303,290
0.304,282
0.305,270
0.306,271
0.307,271
0.308,264
0.309,281
0.31,279
0.311,273
0.312,265
0.313,258
0.314,266
0.315,273
0.316,266
0.317,274
0.318,288
0.319,306
0.32,307
0.321,305
0.322,298
0.323,303
0.324,297
0.325,289
0.326,286
0.327,282
0.328,272
0.329,261
0.33,254
0.331,254
0.332,248
0.333,239
0.334,267
0.335,268
0.336,263
0.337,257
0.338,255
0.339,259
0.34,255
0.341,247
0.342,252
0.343,249
0.344,260
0.345,253
0.346,251
0.347,251
0.348,254
0.349,245
0.35,240
0.351,262
0.352,256
0.353,249
0.354,248
0.355,244
0.356,247
0.357,239
0.358,232
0.359,285
0.36,280
0.361,276
0.362,271
0.363,269
0.364,274
0.365,266
0.366,274
0.367,293
0.368,288
0.369,285
0.37,290
0.371,296
0.372,308
0.373,302
0.374,295
0.375,305
0.376,303
0.377,298
0.378,292
0.379,284
0.38,288
0.381,283
0.382,319
0.383,326
0.384,328
0.385,330
0.386,323
0.387,320
0.388,329
0.389,328
0.39,314
0.391,302
0.392,291
0.393,281
0.394,282
0.395,278
0.396,279
0.397,272
0.398,262
0.399,275
0.4,283
0.401,284
0.402,281
0.403,276
0.404,279
0.405,282
0.406,289
0.407,289
0.408,300
0.409,294
0.41,290
0.411,290
0.412,290
0.413,285
0.414,276
0.415,266
0.416,277
0.417,271
0.418,276
0.419,275
0.42,275
0.421,280
0.422,274
0.423,267
0.424,288
0.425,283
0.426,275
0.427,270
0.428,266
0.429,269
0.43,262
0.431,261
0.432,265
0.433,267
0.434,263
0.435,255
0.436,256
0.437,260
0.438,259
0.439,251
0.44,269
0.441,266
0.442,265
0.443,264
0.444,263
0.445,269
0.446,264
0.447,255
0.448,270
0.449,263
0.45,254
0.451,249
0.452,244
0.453,248
0.454,247
0.455,250
0.456,254
0.457,256
0.458,250
0.459,244
0.46,241
0.461,249
0.462,249
0.463,244
0.464,266
0.465,264
0.466,276
0.467,271
0.468,272
0.469,279
0.47,285
0.471,273
0.472,274
0.473,272
0.474,263
0.475,259
0.476,259
0.477,258
0.478,263
0.479,272
0.48,272
0.481,265
0.482,261
0.483,253
0.484,247
0.485,250
0.486,254
0.487,251
0.488,263
0.489,277
0.49,270
0.491,281
0.492,275
0.493,282
0.494,289
0.495,285
0.496,277
0.497,307
0.498,301
0.499,295
0.5,291
0.501,285
0.502,288
0.503,281
0.504,275
0.505,267
0.506,259
0.507,266
0.508,260
0.509,255
0.51,259
0.511,254
0.512,244
0.513,256
0.514,248
0.515,239
0.516,232
0.517,228
0.518,227
0.519,226
0.52,219
0.521,245
0.522,241
0.523,236
0.524,232
0.525,233
0.526,238
0.527,238
0.528,231
0.529,230
0.53,231
0.531,238
0.532,247
0.533,248
0.534,253
0.535,259
0.536,250
0.537,255
0.538,258
0.539,252
0.54,247
0.541,241
0.542,255
0.543,261
0.544,251
0.545,243
0.546,237
0.547,234
0.548,235
0.549,228
0.55,226
0.551,231
0.552,229
0.553,223
0.554,217
0.555,221
0.556,231
0.557,228
0.558,231
0.559,236
0.56,233
0.561,229
0.562,238
0.563,231
0.564,293
0.565,300
0.566,310
0.567,317
0.568,313
0.569,312
0.57,314
0.571,316
0.572,311
0.573,303
0.574,296
0.575,294
0.576,293
0.577,285
0.578,322
0.579,325
0.58,334
0.581,334
0.582,330
0.583,335
0.584,336
0.585,328
0.586,337
0.587,361
0.588,356
0.589,367
0.59,368
0.591,368
0.592,363
0.593,352
