timestamp,emg_value
0.0,256
0.001,263
0.002,276
0.003,275
0.004,279
0.005,287
0.006,300
0.007,306
0.008,297
0.009,299
0.01,314
0.011,320
0.012,316
0.013,311
0.014,316
0.015,316
0.016,309
0.017,324
0.018,365
0.019,366
0.02,366
0.021,365
0.022,369
0.023,371
0.024,360
0.025,360
0.026,373
0.027,362
0.028,382
0.029,382
0.03,384
0.031,383
0.032,372
0.033,391
0.034,399
0.035,393
0.036,389
0.037,383
0.038,380
0.039,375
0.04,371
0.041,357
0.042,368
0.043,379
0.044,379
0.045,376
0.046,373
0.047,376
0.048,373
0.049,359
0.05,354
0.051,372
0.052,363
0.053,357
0.054,349
0.055,347
0.056,337
0.057,332
0.058,332
0.059,336
0.06,335
0.061,328
0.062,322
0.063,328
0.064,324
0.065,319
0.066,320
0.067,311
0.068,305
0.069,300
0.07,298
0.071,299
0.072,291
0.073,281
0.074,294
0.075,286
0.076,281
0.077,272
0.078,268
0.079,267
0.08,267
0.081,260
0.082,289
0.083,287
0.084,299
0.085,298
0.086,296
0.087,294
0.088,291
0.089,283
0.09,284
0.091,290
0.092,284
0.093,279
0.094,276
0.095,270
0.096,267
0.097,259
0.098,257
0.099,277
0.1,274
0.101,269
0.102,264
0.103,260
0.104,259
0.105,249
0.106,242
0.107,247
0.108,278
0.109,277
0.11,274
0.111,272
0.112,277
0.113,275
0.114,282
0.115,293
0.116,289
0.117,284
0.118,277
0.119,276
0.12,280
0.121,273
0.122,266
0.123,288
0.124,298
0.125,294
0.126,291
0.127,287
0.128,290
0.129,288
0.13,277
0.131,271
0.132,261
0.133,252
0.134,263
0.135,274
0.136,280
0.137,283
0.138,275
0.139,277
0.14,270
0.141,263
0.142,257
0.143,252
0.144,255
0.145,255
0.146,269
0.147,275
0.148,269
0.149,270
0.15,263
0.151,260
0.152,262
0.153,265
0.154,255
0.155,288
0.156,309
0.157,312
0.158,311
0.159,311
0.16,312
0.161,318
0.162,308
0.163,296
0.164,284
0.165,290
0.166,292
0.167,282
0.168,286
0.169,289
0.17,281
0.171,293
0.172,300
0.173,300
0.174,294
0.175,288
0.176,290
0.177,295
0.178,290
0.179,283
0.18,304
0.181,303
0.182,302
0.183,300
0.184,297
0.185,299
0.186,292
0.187,283
0.188,276
0.189,266
0.19,256
0.191,266
0.192,273
0.193,277
0.194,278
0.195,267
0.196,263
0.197,295
0.198,291
0.199,286
0.2,285
0.201,287
0.202,286
0.203,277
0.204,283
0.205,278
0.206,273
0.207,271
0.208,266
0.209,265
0.21,271
0.211,261
0.212,262
0.213,294
0.214,291
0.215,291
0.216,291
0.217,293
0.218,295
0.219,295
0.22,299
0.221,318
0.222,317
0.223,312
0.224,301
0.225,297
0.226,302
0.227,298
0.228,292
0.229,313
0.23,313
0.231,312
0.232,304
0.233,296
0.234,301
0.235,305
0.236,303
0.237,320
0.238,313
0.239,309
0.24,305
0.241,301
0.242,304
0.243,299
0.244,289
0.245,311
0.246,312
0.247,310
0.248,306
0.249,302
0.25,307
0.251,305
0.252,297
0.253,333
0.254,332
0.255,324
0.256,319
0.257,316
0.258,319
0.259,316
0.26,321
0.261,316
0.262,329
0.263,360
0.264,368
0.265,368
0.266,387
0.267,394
0.268,384
0.269,384
0.27,401
0.271,410
0.272,407
0.273,400
0.274,405
0.275,399
0.276,386
0.277,372
0.278,381
0.279,373
0.28,365
0.281,357
0.282,355
0.283,354
0.284,342
0.285,349
0.286,363
0.287,358
0.288,352
0.289,345
0.29,335
0.291,337
0.292,326
0.293,316
0.294,306
0.295,295
0.296,286
0.297,276
0.298,264
0.299,263
0.3,254
0.301,254
0.302,252
0.303,280
0.304,277
0.305,275
0.306,273
0.307,275
0.308,270
0.309,263
0.31,279
0.311,284
0.312,279
0.313,276
0.314,274
0.315,278
0.316,276
0.317,270
0.318,289
0.319,304
0.32,300
0.321,302
0.322,301
0.323,301
0.324,304
0.325,293
0.326,316
0.327,317
0.328,310
0.329,304
0.33,297
0.331,292
0.332,290
0.333,281
0.334,279
0.335,284
0.336,276
0.337,269
0.338,269
0.339,276
0.34,282
0.341,300
0.342,301
0.343,333
0.344,334
0.345,330
0.346,327
0.347,346
0.348,350
0.349,353
0.35,345
0.351,343
0.352,337
0.353,331
0.354,322
0.355,316
0.356,316
0.357,306
0.358,299
0.359,288
0.36,308
0.361,315
0.362,312
0.363,314
0.364,319
0.365,315
0.366,307
0.367,353
0.368,351
0.369,367
0.37,363
0.371,358
0.372,361
0.373,356
0.374,343
0.375,346
0.376,341
0.377,332
0.378,323
0.379,317
0.38,319
0.381,314
0.382,306
0.383,315
0.384,325
0.385,316
0.386,306
0.387,300
0.388,296
0.389,298
0.39,288
0.391,292
0.392,314
0.393,324
0.394,324
0.395,323
0.396,321
0.397,322
0.398,313
0.399,320
0.4,320
0.401,316
0.402,308
0.403,305
0.404,298
0.405,300
0.406,293
0.407,290
0.408,296
0.409,309
0.41,336
0.411,350
0.412,357
0.413,366
0.414,360
0.415,352
0.416,385
0.417,398
0.418,399
0.419,402
0.42,398
0.421,407
0.422,404
0.423,390
0.424,378
0.425,364
0.426,351
0.427,340
0.428,329
0.429,319
0.43,312
0.431,300
0.432,302
0.433,330
0.434,327
0.435,328
0.436,325
0.437,327
0.438,329
0.439,321
0.44,370
0.441,408
0.442,415
0.443,416
0.444,419
0.445,418
0.446,414
0.447,398
0.448,390
0.449,385
0.45,397
0.451,389
0.452,380
0.453,382
0.454,379
0.455,367
0.456,356
0.457,354
0.458,343
0.459,393
0.46,394
0.461,392
0.462,389
0.463,376
0.464,363
0.465,359
0.466,354
0.467,348
0.468,339
0.469,331
0.47,347
0.471,338
0.472,331
0.473,340
0.474,353
0.475,348
0.476,342
0.477,338
0.478,343
0.479,337
0.48,329
0.481,356
0.482,347
0.483,356
0.484,356
0.485,352
0.486,358
0.487,354
0.488,340
0.489,349
0.49,377
0.491,371
0.492,372
0.493,368
0.494,370
0.495,366
0.496,352
0.497,363
0.498,366
0.499,365
0.5,360
0.501,354
0.502,359
0.503,360
0.504,346
0.505,367
0.506,374
0.507,393
0.508,390
0.509,383
0.51,378
0.511,380
0.512,370
0.513,366
0.514,371
0.515,361
0.516,382
0.517,380
0.518,372
0.519,376
0.52,368
0.521,358
0.522,353
0.523,344
0.524,352
0.525,342
0.526,341
0.527,338
0.528,330
0.529,327
0.53,349
0.531,351
0.532,345
0.533,339
0.534,334
0.535,337
0.536,332
0.537,327
0.538,329
0.539,335
0.54,330
0.541,322
0.542,314
0.543,317
0.544,309
0.545,300
0.546,323
0.547,316
0.548,321
0.549,318
0.55,317
0.551,322
0.552,318
0.553,314
0.554,312
0.555,308
0.556,308
0.557,304
0.558,298
0.559,298
0.56,297
0.561,285
0.562,319
0.563,324
0.564,319
0.565,319
0.566,324
0.567,333
0.568,339
0.569,331
0.57,326
0.571,340
0.572,332
0.573,325
0.574,321
0.575,316
0.576,319
0.577,307
0.578,319
0.579,327
0.58,319
0.581,313
0.582,310
0.583,303
0.584,309
0.585,304
0.586,306
0.587,341
0.588,352
0.589,351
0.59,348
0.591,342
0.592,349
0.593,344
0.594,342
0.595,356
0.596,353
0.597,347
0.598,340
0.599,330
0.6,322
0.601,321
0.602,310
0.603,319
0.604,309
0.605,301
0.606,292
0.607,284
0.608,282
0.609,279
0.61,270
0.611,264
0.612,258
0.613,246
0.614,245
0.615,238
0.616,239
0.617,239
0.618,236
